epoch,train_loss,val_loss,train_prec1,val_prec1,train_prec5,val_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(1.9128, device='cuda:0')","tensor(1.7134, device='cuda:0')","tensor(30.4580, device='cuda:0')","tensor(39.1800, device='cuda:0')","tensor(84.0940, device='cuda:0')","tensor(89.5400, device='cuda:0')",1,"tensor(39.1800, device='cuda:0')",0,0.0
2,"tensor(1.6221, device='cuda:0')","tensor(1.4769, device='cuda:0')","tensor(41.3620, device='cuda:0')","tensor(46.2200, device='cuda:0')","tensor(89.9000, device='cuda:0')","tensor(92.4300, device='cuda:0')",2,"tensor(46.2200, device='cuda:0')",0,0.0
3,"tensor(1.4644, device='cuda:0')","tensor(1.3900, device='cuda:0')","tensor(46.9180, device='cuda:0')","tensor(49.6200, device='cuda:0')","tensor(92.0760, device='cuda:0')","tensor(93.4300, device='cuda:0')",3,"tensor(49.6200, device='cuda:0')",0,0.0
4,"tensor(1.3219, device='cuda:0')","tensor(1.1928, device='cuda:0')","tensor(52.5140, device='cuda:0')","tensor(57.2300, device='cuda:0')","tensor(93.7940, device='cuda:0')","tensor(95.5700, device='cuda:0')",4,"tensor(57.2300, device='cuda:0')",0,0.0
5,"tensor(1.1868, device='cuda:0')","tensor(1.1361, device='cuda:0')","tensor(57.5640, device='cuda:0')","tensor(60.2200, device='cuda:0')","tensor(95.3500, device='cuda:0')","tensor(95.6400, device='cuda:0')",5,"tensor(60.2200, device='cuda:0')",0,0.0
6,"tensor(1.0763, device='cuda:0')","tensor(1.0367, device='cuda:0')","tensor(61.8640, device='cuda:0')","tensor(63.6400, device='cuda:0')","tensor(96.2900, device='cuda:0')","tensor(96.4200, device='cuda:0')",6,"tensor(63.6400, device='cuda:0')",0,0.0
7,"tensor(0.9993, device='cuda:0')","tensor(0.9918, device='cuda:0')","tensor(64.6020, device='cuda:0')","tensor(65.3100, device='cuda:0')","tensor(96.8960, device='cuda:0')","tensor(96.8600, device='cuda:0')",7,"tensor(65.3100, device='cuda:0')",0,0.0
8,"tensor(0.9303, device='cuda:0')","tensor(1.4237, device='cuda:0')","tensor(67.2580, device='cuda:0')","tensor(52.8200, device='cuda:0')","tensor(97.2720, device='cuda:0')","tensor(94.1900, device='cuda:0')",7,"tensor(65.3100, device='cuda:0')",0,0.0
9,"tensor(0.8766, device='cuda:0')","tensor(0.9597, device='cuda:0')","tensor(69.2740, device='cuda:0')","tensor(66.9400, device='cuda:0')","tensor(97.5760, device='cuda:0')","tensor(96.6400, device='cuda:0')",9,"tensor(66.9400, device='cuda:0')",0,0.0
10,"tensor(0.8300, device='cuda:0')","tensor(0.8378, device='cuda:0')","tensor(71.1880, device='cuda:0')","tensor(69.9100, device='cuda:0')","tensor(97.8620, device='cuda:0')","tensor(98.1100, device='cuda:0')",10,"tensor(69.9100, device='cuda:0')",0,0.0
