epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(1.8895, device='cuda:0')","tensor(1.6636, device='cuda:0')","tensor(1.6576, device='cuda:0')","tensor(30.6289, device='cuda:0')","tensor(39.8400, device='cuda:0')","tensor(39.9500, device='cuda:0')","tensor(83.9267, device='cuda:0')","tensor(90.4400, device='cuda:0')","tensor(90.3400, device='cuda:0')",1,"tensor(39.8400, device='cuda:0')",1,"tensor(39.9500, device='cuda:0')"
2,"tensor(1.5728, device='cuda:0')","tensor(1.4628, device='cuda:0')","tensor(1.4434, device='cuda:0')","tensor(43.2578, device='cuda:0')","tensor(47.5600, device='cuda:0')","tensor(48.0800, device='cuda:0')","tensor(90.5000, device='cuda:0')","tensor(92.0400, device='cuda:0')","tensor(92.3500, device='cuda:0')",2,"tensor(47.5600, device='cuda:0')",2,"tensor(48.0800, device='cuda:0')"
3,"tensor(1.3661, device='cuda:0')","tensor(1.3213, device='cuda:0')","tensor(1.3061, device='cuda:0')","tensor(51.2756, device='cuda:0')","tensor(51.8000, device='cuda:0')","tensor(51.8200, device='cuda:0')","tensor(93.4378, device='cuda:0')","tensor(94.8400, device='cuda:0')","tensor(94.6900, device='cuda:0')",3,"tensor(51.8000, device='cuda:0')",3,"tensor(51.8200, device='cuda:0')"
4,"tensor(1.2271, device='cuda:0')","tensor(1.1418, device='cuda:0')","tensor(1.1279, device='cuda:0')","tensor(56.4889, device='cuda:0')","tensor(59.3600, device='cuda:0')","tensor(59.8100, device='cuda:0')","tensor(94.7289, device='cuda:0')","tensor(96.2400, device='cuda:0')","tensor(96.3600, device='cuda:0')",4,"tensor(59.3600, device='cuda:0')",4,"tensor(59.8100, device='cuda:0')"
5,"tensor(1.1060, device='cuda:0')","tensor(1.4166, device='cuda:0')","tensor(1.3893, device='cuda:0')","tensor(60.8489, device='cuda:0')","tensor(51.3800, device='cuda:0')","tensor(51.3700, device='cuda:0')","tensor(95.9289, device='cuda:0')","tensor(93.4200, device='cuda:0')","tensor(93.6200, device='cuda:0')",4,"tensor(59.3600, device='cuda:0')",4,"tensor(59.8100, device='cuda:0')"
6,"tensor(1.0288, device='cuda:0')","tensor(1.0430, device='cuda:0')","tensor(1.0169, device='cuda:0')","tensor(63.5778, device='cuda:0')","tensor(63.2200, device='cuda:0')","tensor(63.8500, device='cuda:0')","tensor(96.6244, device='cuda:0')","tensor(96.7000, device='cuda:0')","tensor(97.0400, device='cuda:0')",6,"tensor(63.2200, device='cuda:0')",6,"tensor(63.8500, device='cuda:0')"
7,"tensor(0.9635, device='cuda:0')","tensor(1.2926, device='cuda:0')","tensor(1.2611, device='cuda:0')","tensor(66.1489, device='cuda:0')","tensor(57.6800, device='cuda:0')","tensor(57.7200, device='cuda:0')","tensor(97.1689, device='cuda:0')","tensor(93.1200, device='cuda:0')","tensor(93.8400, device='cuda:0')",6,"tensor(63.2200, device='cuda:0')",6,"tensor(63.8500, device='cuda:0')"
8,"tensor(0.9061, device='cuda:0')","tensor(0.9569, device='cuda:0')","tensor(0.9473, device='cuda:0')","tensor(68.1267, device='cuda:0')","tensor(67.0400, device='cuda:0')","tensor(67.9600, device='cuda:0')","tensor(97.4822, device='cuda:0')","tensor(96.4200, device='cuda:0')","tensor(96.6800, device='cuda:0')",8,"tensor(67.0400, device='cuda:0')",8,"tensor(67.9600, device='cuda:0')"
9,"tensor(0.8562, device='cuda:0')","tensor(0.9470, device='cuda:0')","tensor(0.9577, device='cuda:0')","tensor(69.8889, device='cuda:0')","tensor(67.9200, device='cuda:0')","tensor(67.6500, device='cuda:0')","tensor(97.7333, device='cuda:0')","tensor(96.6000, device='cuda:0')","tensor(96.7800, device='cuda:0')",9,"tensor(67.9200, device='cuda:0')",8,"tensor(67.9600, device='cuda:0')"
10,"tensor(0.8157, device='cuda:0')","tensor(0.9333, device='cuda:0')","tensor(0.9531, device='cuda:0')","tensor(71.6133, device='cuda:0')","tensor(68.4000, device='cuda:0')","tensor(67.3000, device='cuda:0')","tensor(97.8711, device='cuda:0')","tensor(97.4600, device='cuda:0')","tensor(97.2800, device='cuda:0')",10,"tensor(68.4000, device='cuda:0')",8,"tensor(67.9600, device='cuda:0')"
11,"tensor(0.7717, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.9917, device='cuda:0')","tensor(73.0133, device='cuda:0')","tensor(65.3000, device='cuda:0')","tensor(65.5700, device='cuda:0')","tensor(98.2578, device='cuda:0')","tensor(96.9400, device='cuda:0')","tensor(97.2500, device='cuda:0')",10,"tensor(68.4000, device='cuda:0')",8,"tensor(67.9600, device='cuda:0')"
