epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,"tensor(1.6832, device='cuda:0')","tensor(1.4213, device='cuda:0')","tensor(63.3860, device='cuda:0')","tensor(51.7800, device='cuda:0')","tensor(13.0880, device='cuda:0')","tensor(6.9000, device='cuda:0')"
2,"tensor(1.1870, device='cuda:0')","tensor(1.1809, device='cuda:0')","tensor(43.0440, device='cuda:0')","tensor(41.9800, device='cuda:0')","tensor(4.6040, device='cuda:0')","tensor(4.2900, device='cuda:0')"
3,"tensor(0.9518, device='cuda:0')","tensor(1.1752, device='cuda:0')","tensor(33.9580, device='cuda:0')","tensor(40.6400, device='cuda:0')","tensor(2.8100, device='cuda:0')","tensor(2.9100, device='cuda:0')"
4,"tensor(0.8141, device='cuda:0')","tensor(0.8832, device='cuda:0')","tensor(28.8500, device='cuda:0')","tensor(29.7400, device='cuda:0')","tensor(2.0400, device='cuda:0')","tensor(1.7500, device='cuda:0')"
5,"tensor(0.7215, device='cuda:0')","tensor(0.8475, device='cuda:0')","tensor(25.2320, device='cuda:0')","tensor(28.6100, device='cuda:0')","tensor(1.6160, device='cuda:0')","tensor(1.5300, device='cuda:0')"
6,"tensor(0.6645, device='cuda:0')","tensor(1.1032, device='cuda:0')","tensor(23.2380, device='cuda:0')","tensor(32.6500, device='cuda:0')","tensor(1.3240, device='cuda:0')","tensor(3.2300, device='cuda:0')"
7,"tensor(0.6110, device='cuda:0')","tensor(0.7647, device='cuda:0')","tensor(21.2100, device='cuda:0')","tensor(25.3600, device='cuda:0')","tensor(1.2060, device='cuda:0')","tensor(1.4400, device='cuda:0')"
8,"tensor(0.5760, device='cuda:0')","tensor(0.7835, device='cuda:0')","tensor(20.0100, device='cuda:0')","tensor(25.2200, device='cuda:0')","tensor(0.9460, device='cuda:0')","tensor(2.1000, device='cuda:0')"
9,"tensor(0.5443, device='cuda:0')","tensor(0.7182, device='cuda:0')","tensor(18.9900, device='cuda:0')","tensor(23.0400, device='cuda:0')","tensor(0.9220, device='cuda:0')","tensor(1.3200, device='cuda:0')"
10,"tensor(0.5127, device='cuda:0')","tensor(0.5987, device='cuda:0')","tensor(17.8500, device='cuda:0')","tensor(19.9700, device='cuda:0')","tensor(0.8080, device='cuda:0')","tensor(1.0300, device='cuda:0')"
11,"tensor(0.4945, device='cuda:0')","tensor(0.6576, device='cuda:0')","tensor(17.0960, device='cuda:0')","tensor(20.9300, device='cuda:0')","tensor(0.7920, device='cuda:0')","tensor(1.2300, device='cuda:0')"
12,"tensor(0.4708, device='cuda:0')","tensor(0.6971, device='cuda:0')","tensor(16.2560, device='cuda:0')","tensor(22.9200, device='cuda:0')","tensor(0.7020, device='cuda:0')","tensor(1.2400, device='cuda:0')"
13,"tensor(0.4523, device='cuda:0')","tensor(0.5958, device='cuda:0')","tensor(15.6840, device='cuda:0')","tensor(18.8800, device='cuda:0')","tensor(0.6280, device='cuda:0')","tensor(0.9900, device='cuda:0')"
14,"tensor(0.4430, device='cuda:0')","tensor(0.7320, device='cuda:0')","tensor(15.3800, device='cuda:0')","tensor(23.0600, device='cuda:0')","tensor(0.6060, device='cuda:0')","tensor(1., device='cuda:0')"
15,"tensor(0.4254, device='cuda:0')","tensor(0.6325, device='cuda:0')","tensor(14.6600, device='cuda:0')","tensor(20.3000, device='cuda:0')","tensor(0.5680, device='cuda:0')","tensor(1.2200, device='cuda:0')"
16,"tensor(0.4136, device='cuda:0')","tensor(0.7206, device='cuda:0')","tensor(14.2100, device='cuda:0')","tensor(21.6500, device='cuda:0')","tensor(0.5340, device='cuda:0')","tensor(1.1500, device='cuda:0')"
17,"tensor(0.4028, device='cuda:0')","tensor(0.6942, device='cuda:0')","tensor(14.0020, device='cuda:0')","tensor(21.7700, device='cuda:0')","tensor(0.4900, device='cuda:0')","tensor(1.1700, device='cuda:0')"
18,"tensor(0.3937, device='cuda:0')","tensor(0.5533, device='cuda:0')","tensor(13.6820, device='cuda:0')","tensor(17.9200, device='cuda:0')","tensor(0.4480, device='cuda:0')","tensor(0.8600, device='cuda:0')"
19,"tensor(0.3851, device='cuda:0')","tensor(0.5937, device='cuda:0')","tensor(13.4120, device='cuda:0')","tensor(19.2900, device='cuda:0')","tensor(0.4140, device='cuda:0')","tensor(1.0100, device='cuda:0')"
20,"tensor(0.3768, device='cuda:0')","tensor(0.4863, device='cuda:0')","tensor(13.1820, device='cuda:0')","tensor(16.0900, device='cuda:0')","tensor(0.4340, device='cuda:0')","tensor(0.7400, device='cuda:0')"
