epoch,train_loss,val_loss,train_prec1,val_prec1,train_prec5,val_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(1.4398, device='cuda:0')","tensor(1.2068, device='cuda:0')","tensor(48.8020, device='cuda:0')","tensor(56.8200, device='cuda:0')","tensor(91.5600, device='cuda:0')","tensor(95.4400, device='cuda:0')",1,"tensor(56.8200, device='cuda:0')",0,0
2,"tensor(0.9453, device='cuda:0')","tensor(1.0816, device='cuda:0')","tensor(66.9200, device='cuda:0')","tensor(65., device='cuda:0')","tensor(97.0460, device='cuda:0')","tensor(95.6400, device='cuda:0')",2,"tensor(65., device='cuda:0')",0,0
3,"tensor(0.7500, device='cuda:0')","tensor(0.8121, device='cuda:0')","tensor(74.1560, device='cuda:0')","tensor(72.4500, device='cuda:0')","tensor(98.2280, device='cuda:0')","tensor(97.7300, device='cuda:0')",3,"tensor(72.4500, device='cuda:0')",0,0
4,"tensor(0.6324, device='cuda:0')","tensor(0.8536, device='cuda:0')","tensor(78.3220, device='cuda:0')","tensor(72.6600, device='cuda:0')","tensor(98.8180, device='cuda:0')","tensor(97.6100, device='cuda:0')",4,"tensor(72.6600, device='cuda:0')",0,0
5,"tensor(0.5559, device='cuda:0')","tensor(0.6408, device='cuda:0')","tensor(80.8840, device='cuda:0')","tensor(78.2700, device='cuda:0')","tensor(99.0260, device='cuda:0')","tensor(98.7000, device='cuda:0')",5,"tensor(78.2700, device='cuda:0')",0,0
6,"tensor(0.4984, device='cuda:0')","tensor(0.6066, device='cuda:0')","tensor(82.7760, device='cuda:0')","tensor(79.8300, device='cuda:0')","tensor(99.2580, device='cuda:0')","tensor(99.1300, device='cuda:0')",6,"tensor(79.8300, device='cuda:0')",0,0
7,"tensor(0.4549, device='cuda:0')","tensor(0.5944, device='cuda:0')","tensor(84.4880, device='cuda:0')","tensor(80.5300, device='cuda:0')","tensor(99.3520, device='cuda:0')","tensor(98.9100, device='cuda:0')",7,"tensor(80.5300, device='cuda:0')",0,0
8,"tensor(0.4138, device='cuda:0')","tensor(0.5036, device='cuda:0')","tensor(85.7520, device='cuda:0')","tensor(83.2500, device='cuda:0')","tensor(99.4640, device='cuda:0')","tensor(99.2400, device='cuda:0')",8,"tensor(83.2500, device='cuda:0')",0,0
9,"tensor(0.3866, device='cuda:0')","tensor(0.6089, device='cuda:0')","tensor(86.6500, device='cuda:0')","tensor(81.1300, device='cuda:0')","tensor(99.5960, device='cuda:0')","tensor(99.1000, device='cuda:0')",8,"tensor(83.2500, device='cuda:0')",0,0
10,"tensor(0.3534, device='cuda:0')","tensor(0.7401, device='cuda:0')","tensor(87.8140, device='cuda:0')","tensor(78.7900, device='cuda:0')","tensor(99.6580, device='cuda:0')","tensor(98.1900, device='cuda:0')",8,"tensor(83.2500, device='cuda:0')",0,0
11,"tensor(0.3279, device='cuda:0')","tensor(0.4493, device='cuda:0')","tensor(88.8180, device='cuda:0')","tensor(85.3000, device='cuda:0')","tensor(99.6880, device='cuda:0')","tensor(99.5500, device='cuda:0')",11,"tensor(85.3000, device='cuda:0')",0,0
12,"tensor(0.3063, device='cuda:0')","tensor(0.3975, device='cuda:0')","tensor(89.2880, device='cuda:0')","tensor(86.9700, device='cuda:0')","tensor(99.7560, device='cuda:0')","tensor(99.5700, device='cuda:0')",12,"tensor(86.9700, device='cuda:0')",0,0
13,"tensor(0.2861, device='cuda:0')","tensor(0.3728, device='cuda:0')","tensor(90.1440, device='cuda:0')","tensor(87.6000, device='cuda:0')","tensor(99.7500, device='cuda:0')","tensor(99.4900, device='cuda:0')",13,"tensor(87.6000, device='cuda:0')",0,0
14,"tensor(0.2698, device='cuda:0')","tensor(0.4469, device='cuda:0')","tensor(90.6540, device='cuda:0')","tensor(85.7100, device='cuda:0')","tensor(99.8140, device='cuda:0')","tensor(99.0700, device='cuda:0')",13,"tensor(87.6000, device='cuda:0')",0,0
15,"tensor(0.2489, device='cuda:0')","tensor(0.4317, device='cuda:0')","tensor(91.2900, device='cuda:0')","tensor(85.8900, device='cuda:0')","tensor(99.8380, device='cuda:0')","tensor(99.5100, device='cuda:0')",13,"tensor(87.6000, device='cuda:0')",0,0
16,"tensor(0.2298, device='cuda:0')","tensor(0.3822, device='cuda:0')","tensor(92.0820, device='cuda:0')","tensor(87.9400, device='cuda:0')","tensor(99.8720, device='cuda:0')","tensor(99.5800, device='cuda:0')",16,"tensor(87.9400, device='cuda:0')",0,0
17,"tensor(0.2145, device='cuda:0')","tensor(0.4073, device='cuda:0')","tensor(92.7000, device='cuda:0')","tensor(87.6900, device='cuda:0')","tensor(99.8940, device='cuda:0')","tensor(99.4600, device='cuda:0')",16,"tensor(87.9400, device='cuda:0')",0,0
