epoch,train_loss,val_loss,train_prec1,val_prec1,train_prec5,val_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
1,"tensor(1.3985, device='cuda:0')","tensor(1.2330, device='cuda:0')","tensor(49.7060, device='cuda:0')","tensor(58.9600, device='cuda:0')","tensor(92.1100, device='cuda:0')","tensor(93.4300, device='cuda:0')",1,"tensor(58.9600, device='cuda:0')",0,0.0
2,"tensor(0.8825, device='cuda:0')","tensor(0.8566, device='cuda:0')","tensor(69.2600, device='cuda:0')","tensor(70.7000, device='cuda:0')","tensor(97.5260, device='cuda:0')","tensor(98.1800, device='cuda:0')",2,"tensor(70.7000, device='cuda:0')",0,0.0
3,"tensor(0.6769, device='cuda:0')","tensor(0.7931, device='cuda:0')","tensor(76.6140, device='cuda:0')","tensor(74.0800, device='cuda:0')","tensor(98.5760, device='cuda:0')","tensor(98.2900, device='cuda:0')",3,"tensor(74.0800, device='cuda:0')",0,0.0
4,"tensor(0.5702, device='cuda:0')","tensor(0.7173, device='cuda:0')","tensor(80.5040, device='cuda:0')","tensor(75.6500, device='cuda:0')","tensor(98.9260, device='cuda:0')","tensor(98.4200, device='cuda:0')",4,"tensor(75.6500, device='cuda:0')",0,0.0
5,"tensor(0.5036, device='cuda:0')","tensor(0.6484, device='cuda:0')","tensor(82.7500, device='cuda:0')","tensor(77.6300, device='cuda:0')","tensor(99.2500, device='cuda:0')","tensor(98.9700, device='cuda:0')",5,"tensor(77.6300, device='cuda:0')",0,0.0
6,"tensor(0.4451, device='cuda:0')","tensor(0.4941, device='cuda:0')","tensor(84.7340, device='cuda:0')","tensor(83.8600, device='cuda:0')","tensor(99.3760, device='cuda:0')","tensor(98.8700, device='cuda:0')",6,"tensor(83.8600, device='cuda:0')",0,0.0
7,"tensor(0.3983, device='cuda:0')","tensor(0.5471, device='cuda:0')","tensor(86.2100, device='cuda:0')","tensor(81.5300, device='cuda:0')","tensor(99.4960, device='cuda:0')","tensor(99.3000, device='cuda:0')",6,"tensor(83.8600, device='cuda:0')",0,0.0
8,"tensor(0.3668, device='cuda:0')","tensor(0.5236, device='cuda:0')","tensor(87.3040, device='cuda:0')","tensor(82.8700, device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.1800, device='cuda:0')",6,"tensor(83.8600, device='cuda:0')",0,0.0
9,"tensor(0.3333, device='cuda:0')","tensor(0.4382, device='cuda:0')","tensor(88.5580, device='cuda:0')","tensor(85.3900, device='cuda:0')","tensor(99.6780, device='cuda:0')","tensor(99.3300, device='cuda:0')",9,"tensor(85.3900, device='cuda:0')",0,0.0
10,"tensor(0.3076, device='cuda:0')","tensor(0.4187, device='cuda:0')","tensor(89.3380, device='cuda:0')","tensor(86.1100, device='cuda:0')","tensor(99.7500, device='cuda:0')","tensor(99.5800, device='cuda:0')",10,"tensor(86.1100, device='cuda:0')",0,0.0
11,"tensor(0.2849, device='cuda:0')","tensor(0.4152, device='cuda:0')","tensor(90.2040, device='cuda:0')","tensor(86.2300, device='cuda:0')","tensor(99.7740, device='cuda:0')","tensor(99.3400, device='cuda:0')",11,"tensor(86.2300, device='cuda:0')",0,0.0
12,"tensor(0.2594, device='cuda:0')","tensor(0.4301, device='cuda:0')","tensor(91.1480, device='cuda:0')","tensor(86.4200, device='cuda:0')","tensor(99.8080, device='cuda:0')","tensor(99.1500, device='cuda:0')",12,"tensor(86.4200, device='cuda:0')",0,0.0
13,"tensor(0.2431, device='cuda:0')","tensor(0.3791, device='cuda:0')","tensor(91.5560, device='cuda:0')","tensor(87.4700, device='cuda:0')","tensor(99.8680, device='cuda:0')","tensor(99.4600, device='cuda:0')",13,"tensor(87.4700, device='cuda:0')",0,0.0
14,"tensor(0.2208, device='cuda:0')","tensor(0.4372, device='cuda:0')","tensor(92.4320, device='cuda:0')","tensor(86.0700, device='cuda:0')","tensor(99.8720, device='cuda:0')","tensor(99.2900, device='cuda:0')",13,"tensor(87.4700, device='cuda:0')",0,0.0
15,"tensor(0.2041, device='cuda:0')","tensor(0.4119, device='cuda:0')","tensor(92.9820, device='cuda:0')","tensor(86.9800, device='cuda:0')","tensor(99.9040, device='cuda:0')","tensor(99.6000, device='cuda:0')",13,"tensor(87.4700, device='cuda:0')",0,0.0
16,"tensor(0.1941, device='cuda:0')","tensor(0.4223, device='cuda:0')","tensor(93.2360, device='cuda:0')","tensor(87.1800, device='cuda:0')","tensor(99.9120, device='cuda:0')","tensor(99.5000, device='cuda:0')",13,"tensor(87.4700, device='cuda:0')",0,0.0
17,"tensor(0.1752, device='cuda:0')","tensor(0.4168, device='cuda:0')","tensor(93.9520, device='cuda:0')","tensor(87.2700, device='cuda:0')","tensor(99.9200, device='cuda:0')","tensor(99.4700, device='cuda:0')",13,"tensor(87.4700, device='cuda:0')",0,0.0
18,"tensor(0.1657, device='cuda:0')","tensor(0.3601, device='cuda:0')","tensor(94.1840, device='cuda:0')","tensor(88.8300, device='cuda:0')","tensor(99.9360, device='cuda:0')","tensor(99.6600, device='cuda:0')",18,"tensor(88.8300, device='cuda:0')",0,0.0
19,"tensor(0.1534, device='cuda:0')","tensor(0.3832, device='cuda:0')","tensor(94.7040, device='cuda:0')","tensor(88.1100, device='cuda:0')","tensor(99.9540, device='cuda:0')","tensor(99.5000, device='cuda:0')",18,"tensor(88.8300, device='cuda:0')",0,0.0
20,"tensor(0.1428, device='cuda:0')","tensor(0.3455, device='cuda:0')","tensor(95.0900, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(99.9640, device='cuda:0')","tensor(99.5600, device='cuda:0')",20,"tensor(90.0800, device='cuda:0')",0,0.0
21,"tensor(0.1292, device='cuda:0')","tensor(0.4143, device='cuda:0')","tensor(95.5140, device='cuda:0')","tensor(87.9300, device='cuda:0')","tensor(99.9540, device='cuda:0')","tensor(99.5000, device='cuda:0')",20,"tensor(90.0800, device='cuda:0')",0,0.0
22,"tensor(0.1293, device='cuda:0')","tensor(0.3377, device='cuda:0')","tensor(95.4760, device='cuda:0')","tensor(90.1600, device='cuda:0')","tensor(99.9640, device='cuda:0')","tensor(99.6600, device='cuda:0')",22,"tensor(90.1600, device='cuda:0')",0,0.0
23,"tensor(0.1170, device='cuda:0')","tensor(0.3352, device='cuda:0')","tensor(95.9360, device='cuda:0')","tensor(89.8500, device='cuda:0')","tensor(99.9760, device='cuda:0')","tensor(99.7200, device='cuda:0')",22,"tensor(90.1600, device='cuda:0')",0,0.0
